accuracy,loss,val_accuracy,val_loss,learning_rate
0.9950731992721558,0.030970420688390732,0.9959273338317871,0.026170844212174416,0.0010000000474974513
0.996115505695343,0.020769095048308372,0.9960624575614929,0.025010904297232628,0.0010000000474974513
0.9961251616477966,0.020800303667783737,0.9960624575614929,0.021803660318255424,0.0010000000474974513
0.9961251616477966,0.020556407049298286,0.9960624575614929,0.023260200396180153,0.0010000000474974513
0.9961251616477966,0.02095523104071617,0.9960624575614929,0.02323189377784729,0.0010000000474974513
0.9961444139480591,0.0195690356194973,0.9960624575614929,0.021368058398365974,0.0010000000474974513
0.9961347579956055,0.021568110212683678,0.9960624575614929,0.025217711925506592,0.0010000000474974513
0.9961010217666626,0.022620977833867073,0.9960431456565857,0.026932479813694954,0.0010000000474974513
0.9960720539093018,0.022028153762221336,0.9960431456565857,0.024270519614219666,0.0010000000474974513
0.9961010217666626,0.01795799843966961,0.996004581451416,0.03596452251076698,0.0010000000474974513
0.9961588978767395,0.017363879829645157,0.996004581451416,0.02802131325006485,0.0010000000474974513
0.9961540699005127,0.0179581455886364,0.9960431456565857,0.027055922895669937,0.0005000000237487257
0.9961685538291931,0.016955874860286713,0.9960431456565857,0.024625113233923912,0.0005000000237487257
0.9961685538291931,0.01631205528974533,0.9960431456565857,0.025635164231061935,0.0005000000237487257
0.9961685538291931,0.016357015818357468,0.9960431456565857,0.043092478066682816,0.0005000000237487257
0.9961540699005127,0.01739528961479664,0.9960431456565857,0.029221197590231895,0.0005000000237487257
